datetime,place,deliveries,is_holiday,weather_condition,temperature,app_clicks,traffic_congestion_level,area_population,income_level
2024-01-11 00:00:00,A,163,False,Snowy,19.03,619,Low,1000000,High
2024-01-11 00:00:00,B,194,False,Sunny,13.71,311,High,500000,Medium
2024-01-11 00:00:00,C,198,False,Cloudy,19.6,537,Low,300000,Low
2024-01-11 12:00:00,A,263,False,Cloudy,15.38,919,Severe,1000000,High
2024-01-11 12:00:00,B,200,False,Rainy,5.27,597,Severe,500000,Medium
2024-01-11 12:00:00,C,253,False,Sunny,16.16,394,High,300000,Low
2024-01-12 00:00:00,A,115,False,Snowy,13.14,669,Moderate,1000000,High
2024-01-12 00:00:00,B,230,False,Snowy,19.6,564,Low,500000,Medium
2024-01-12 00:00:00,C,107,False,Cloudy,14.47,425,Moderate,300000,Low
2024-01-12 12:00:00,A,110,False,Rainy,12.54,483,High,1000000,High
2024-01-12 12:00:00,B,268,False,Rainy,8.45,858,Low,500000,Medium
2024-01-12 12:00:00,C,276,False,Snowy,14.68,216,High,300000,Low
2024-01-13 00:00:00,A,334,True,Stormy,19.31,572,Low,1000000,High
2024-01-13 00:00:00,B,349,True,Sunny,5.23,479,High,500000,Medium
2024-01-13 00:00:00,C,245,True,Cloudy,19.5,298,Moderate,300000,Low
2024-01-13 12:00:00,A,418,True,Sunny,17.8,390,Moderate,1000000,High
2024-01-13 12:00:00,B,322,True,Snowy,17.77,455,Low,500000,Medium
2024-01-13 12:00:00,C,219,True,Sunny,13.35,934,Severe,300000,Low
2024-01-14 00:00:00,A,416,True,Sunny,6.46,487,Moderate,1000000,High
2024-01-14 00:00:00,B,255,True,Rainy,7.1,354,Severe,500000,Medium
2024-01-14 00:00:00,C,268,True,Snowy,15.46,445,Moderate,300000,Low
2024-01-14 12:00:00,A,370,True,Cloudy,9.45,737,Severe,1000000,High
2024-01-14 12:00:00,B,299,True,Rainy,14.17,705,Moderate,500000,Medium
2024-01-14 12:00:00,C,189,True,Cloudy,16.97,520,Severe,300000,Low
2024-01-15 00:00:00,A,195,False,Cloudy,5.76,670,Severe,1000000,High
2024-01-15 00:00:00,B,149,False,Snowy,6.41,926,Severe,500000,Medium
2024-01-15 00:00:00,C,323,False,Sunny,13.14,324,Moderate,300000,Low
2024-01-15 12:00:00,A,134,False,Rainy,5.46,891,Low,1000000,High
2024-01-15 12:00:00,B,114,False,Cloudy,10.4,643,Low,500000,Medium
2024-01-15 12:00:00,C,175,False,Snowy,12.83,252,Moderate,300000,Low
2024-01-16 00:00:00,A,193,False,Snowy,14.34,395,Moderate,1000000,High
2024-01-16 00:00:00,B,246,False,Sunny,11.17,855,Low,500000,Medium
2024-01-16 00:00:00,C,251,False,Sunny,15.72,858,Moderate,300000,Low
2024-01-16 12:00:00,A,171,False,Sunny,11.5,257,Low,1000000,High
2024-01-16 12:00:00,B,216,False,Cloudy,6.21,326,Low,500000,Medium
2024-01-16 12:00:00,C,204,False,Snowy,15.33,840,Moderate,300000,Low
2024-01-17 00:00:00,A,85,False,Cloudy,11.64,295,Severe,1000000,High
2024-01-17 00:00:00,B,129,False,Rainy,7.74,436,Moderate,500000,Medium
2024-01-17 00:00:00,C,89,False,Snowy,12.75,903,Severe,300000,Low
2024-01-17 12:00:00,A,206,False,Rainy,8.72,855,Severe,1000000,High
2024-01-17 12:00:00,B,110,False,Stormy,6.74,268,Moderate,500000,Medium
2024-01-17 12:00:00,C,211,False,Sunny,17.83,652,Low,300000,Low
2024-01-18 00:00:00,A,238,False,Stormy,17.1,811,High,1000000,High
2024-01-18 00:00:00,B,167,False,Stormy,10.98,721,Severe,500000,Medium
2024-01-18 00:00:00,C,263,False,Stormy,10.62,961,Low,300000,Low
2024-01-18 12:00:00,A,218,False,Sunny,17.85,524,Low,1000000,High
2024-01-18 12:00:00,B,108,False,Stormy,6.06,958,High,500000,Medium
2024-01-18 12:00:00,C,253,False,Sunny,14.55,863,Moderate,300000,Low
2024-01-19 00:00:00,A,244,False,Rainy,14.65,890,Moderate,1000000,High
2024-01-19 00:00:00,B,82,False,Snowy,10.79,616,Severe,500000,Medium
2024-01-19 00:00:00,C,90,False,Rainy,6.04,806,Severe,300000,Low
2024-01-19 12:00:00,A,118,False,Rainy,10.05,289,High,1000000,High
2024-01-19 12:00:00,B,221,False,Stormy,15.22,617,Moderate,500000,Medium
2024-01-19 12:00:00,C,226,False,Sunny,6.77,700,Severe,300000,Low
2024-01-20 00:00:00,A,302,True,Snowy,16.03,476,Low,1000000,High
2024-01-20 00:00:00,B,401,True,Sunny,7.66,656,Low,500000,Medium
2024-01-20 00:00:00,C,463,True,Sunny,19.86,747,Moderate,300000,Low
2024-01-20 12:00:00,A,358,True,Rainy,13.71,862,Severe,1000000,High
2024-01-20 12:00:00,B,233,True,Stormy,15.2,478,Severe,500000,Medium
2024-01-20 12:00:00,C,167,True,Rainy,13.01,795,Severe,300000,Low
2024-01-21 00:00:00,A,405,True,Sunny,6.5,811,Moderate,1000000,High
2024-01-21 00:00:00,B,380,True,Stormy,17.71,464,Low,500000,Medium
2024-01-21 00:00:00,C,367,True,Stormy,15.15,763,High,300000,Low
2024-01-21 12:00:00,A,272,True,Stormy,6.25,268,High,1000000,High
2024-01-21 12:00:00,B,181,True,Stormy,13.31,668,Severe,500000,Medium
2024-01-21 12:00:00,C,230,True,Rainy,6.7,892,Moderate,300000,Low
2024-01-22 00:00:00,A,266,False,Cloudy,19.94,833,Moderate,1000000,High
2024-01-22 00:00:00,B,251,False,Sunny,16.06,932,Low,500000,Medium
2024-01-22 00:00:00,C,245,False,Cloudy,19.53,208,Low,300000,Low
2024-01-22 12:00:00,A,165,False,Sunny,17.55,452,Severe,1000000,High
2024-01-22 12:00:00,B,245,False,Snowy,6.09,994,Moderate,500000,Medium
2024-01-22 12:00:00,C,119,False,Sunny,12.7,621,Low,300000,Low
2024-01-23 00:00:00,A,181,False,Rainy,10.56,699,Low,1000000,High
2024-01-23 00:00:00,B,150,False,Snowy,19.79,331,Low,500000,Medium
2024-01-23 00:00:00,C,195,False,Rainy,12.23,381,Severe,300000,Low
2024-01-23 12:00:00,A,126,False,Sunny,6.67,650,Moderate,1000000,High
2024-01-23 12:00:00,B,208,False,Snowy,5.84,675,Low,500000,Medium
2024-01-23 12:00:00,C,207,False,Snowy,14.74,200,Low,300000,Low
2024-01-24 00:00:00,A,171,False,Stormy,19.43,390,High,1000000,High
2024-01-24 00:00:00,B,252,False,Cloudy,18.03,316,Moderate,500000,Medium
2024-01-24 00:00:00,C,233,False,Cloudy,17.03,884,Moderate,300000,Low
2024-01-24 12:00:00,A,208,False,Cloudy,13.34,348,Severe,1000000,High
2024-01-24 12:00:00,B,225,False,Rainy,13.31,731,High,500000,Medium
2024-01-24 12:00:00,C,128,False,Stormy,14.44,725,High,300000,Low
2024-01-25 00:00:00,A,114,False,Sunny,14.41,458,Low,1000000,High
2024-01-25 00:00:00,B,268,False,Stormy,18.73,529,Low,500000,Medium
2024-01-25 00:00:00,C,332,False,Sunny,10.92,607,Moderate,300000,Low
2024-01-25 12:00:00,A,95,False,Snowy,7.55,875,High,1000000,High
2024-01-25 12:00:00,B,244,False,Rainy,8.44,739,High,500000,Medium
2024-01-25 12:00:00,C,147,False,Sunny,8.9,701,Moderate,300000,Low
2024-01-26 00:00:00,A,300,False,Cloudy,9.64,923,High,1000000,High
2024-01-26 00:00:00,B,213,False,Rainy,7.0,746,Severe,500000,Medium
2024-01-26 00:00:00,C,254,False,Snowy,14.2,649,High,300000,Low
2024-01-26 12:00:00,A,109,False,Snowy,17.99,204,Low,1000000,High
2024-01-26 12:00:00,B,125,False,Snowy,16.66,345,High,500000,Medium
2024-01-26 12:00:00,C,300,False,Sunny,10.65,481,Moderate,300000,Low
2024-01-27 00:00:00,A,285,True,Cloudy,17.44,888,Low,1000000,High
2024-01-27 00:00:00,B,440,True,Sunny,5.95,304,Moderate,500000,Medium
2024-01-27 00:00:00,C,328,True,Cloudy,5.21,717,High,300000,Low
2024-01-27 12:00:00,A,397,True,Snowy,17.19,844,Moderate,1000000,High
2024-01-27 12:00:00,B,380,True,Cloudy,13.78,764,Moderate,500000,Medium
2024-01-27 12:00:00,C,300,True,Cloudy,16.36,282,Severe,300000,Low
2024-01-28 00:00:00,A,277,True,Cloudy,8.08,200,Low,1000000,High
2024-01-28 00:00:00,B,232,True,Sunny,9.12,971,Severe,500000,Medium
2024-01-28 00:00:00,C,231,True,Cloudy,5.7,294,Low,300000,Low
2024-01-28 12:00:00,A,298,True,Sunny,5.33,449,High,1000000,High
2024-01-28 12:00:00,B,296,True,Rainy,17.47,505,High,500000,Medium
2024-01-28 12:00:00,C,201,True,Rainy,19.52,933,Severe,300000,Low
2024-01-29 00:00:00,A,115,False,Snowy,11.31,428,Severe,1000000,High
2024-01-29 00:00:00,B,236,False,Snowy,18.55,903,Low,500000,Medium
2024-01-29 00:00:00,C,151,False,Sunny,14.12,997,Low,300000,Low
2024-01-29 12:00:00,A,251,False,Rainy,18.56,507,Low,1000000,High
2024-01-29 12:00:00,B,178,False,Cloudy,10.95,958,Moderate,500000,Medium
2024-01-29 12:00:00,C,190,False,Stormy,17.94,332,Moderate,300000,Low
2024-01-30 00:00:00,A,267,False,Sunny,18.9,529,High,1000000,High
2024-01-30 00:00:00,B,183,False,Cloudy,11.89,745,Low,500000,Medium
2024-01-30 00:00:00,C,105,False,Cloudy,12.39,404,Moderate,300000,Low
2024-01-30 12:00:00,A,198,False,Rainy,14.5,951,Low,1000000,High
2024-01-30 12:00:00,B,180,False,Cloudy,6.93,382,Severe,500000,Medium
2024-01-30 12:00:00,C,199,False,Snowy,15.47,559,Moderate,300000,Low
2024-01-31 00:00:00,A,111,False,Rainy,18.45,394,Moderate,1000000,High
2024-01-31 00:00:00,B,198,False,Rainy,7.58,833,Severe,500000,Medium
2024-01-31 00:00:00,C,202,False,Sunny,10.21,733,Moderate,300000,Low
2024-01-31 12:00:00,A,82,False,Cloudy,13.02,723,Severe,1000000,High
2024-01-31 12:00:00,B,122,False,Rainy,6.93,929,High,500000,Medium
2024-01-31 12:00:00,C,156,False,Rainy,6.38,246,Low,300000,Low
2024-02-01 00:00:00,A,132,False,Stormy,18.1,247,Low,1000000,High
2024-02-01 00:00:00,B,115,False,Stormy,18.02,207,Moderate,500000,Medium
2024-02-01 00:00:00,C,215,False,Rainy,8.14,838,Severe,300000,Low
2024-02-01 12:00:00,A,127,False,Cloudy,10.53,415,High,1000000,High
2024-02-01 12:00:00,B,198,False,Rainy,16.21,725,Moderate,500000,Medium
2024-02-01 12:00:00,C,242,False,Sunny,15.7,822,Moderate,300000,Low
2024-02-02 00:00:00,A,184,False,Stormy,12.98,473,High,1000000,High
2024-02-02 00:00:00,B,214,False,Cloudy,8.64,830,Low,500000,Medium
2024-02-02 00:00:00,C,127,False,Cloudy,5.3,472,High,300000,Low
2024-02-02 12:00:00,A,148,False,Snowy,9.91,736,Severe,1000000,High
2024-02-02 12:00:00,B,150,False,Snowy,10.33,432,High,500000,Medium
2024-02-02 12:00:00,C,232,False,Sunny,13.76,669,Low,300000,Low
2024-02-03 00:00:00,A,207,True,Cloudy,13.8,947,Moderate,1000000,High
2024-02-03 00:00:00,B,249,True,Snowy,10.68,812,High,500000,Medium
2024-02-03 00:00:00,C,244,True,Sunny,14.11,642,Low,300000,Low
2024-02-03 12:00:00,A,217,True,Snowy,9.96,576,Severe,1000000,High
2024-02-03 12:00:00,B,397,True,Cloudy,10.48,823,High,500000,Medium
2024-02-03 12:00:00,C,178,True,Stormy,17.76,645,Low,300000,Low
2024-02-04 00:00:00,A,252,True,Stormy,5.83,336,Moderate,1000000,High
2024-02-04 00:00:00,B,442,True,Cloudy,5.27,428,Low,500000,Medium
2024-02-04 00:00:00,C,209,True,Stormy,19.96,205,Low,300000,Low
2024-02-04 12:00:00,A,397,True,Snowy,18.76,845,Moderate,1000000,High
2024-02-04 12:00:00,B,261,True,Cloudy,7.56,773,Severe,500000,Medium
2024-02-04 12:00:00,C,299,True,Sunny,13.03,225,High,300000,Low
2024-02-05 00:00:00,A,126,False,Snowy,8.08,609,High,1000000,High
2024-02-05 00:00:00,B,126,False,Sunny,7.99,731,High,500000,Medium
2024-02-05 00:00:00,C,128,False,Snowy,15.61,853,High,300000,Low
2024-02-05 12:00:00,A,122,False,Stormy,12.59,710,High,1000000,High
2024-02-05 12:00:00,B,91,False,Stormy,5.78,889,High,500000,Medium
2024-02-05 12:00:00,C,90,False,Snowy,5.95,371,Moderate,300000,Low
2024-02-06 00:00:00,A,184,False,Rainy,17.15,520,Severe,1000000,High
2024-02-06 00:00:00,B,96,False,Stormy,13.93,749,Moderate,500000,Medium
2024-02-06 00:00:00,C,180,False,Snowy,6.6,780,High,300000,Low
2024-02-06 12:00:00,A,262,False,Stormy,6.86,575,Low,1000000,High
2024-02-06 12:00:00,B,261,False,Cloudy,7.72,746,High,500000,Medium
2024-02-06 12:00:00,C,75,False,Rainy,16.12,771,Severe,300000,Low
2024-02-07 00:00:00,A,190,False,Snowy,16.26,997,High,1000000,High
2024-02-07 00:00:00,B,214,False,Stormy,17.22,578,Severe,500000,Medium
2024-02-07 00:00:00,C,172,False,Stormy,18.16,288,Moderate,300000,Low
2024-02-07 12:00:00,A,137,False,Snowy,11.59,725,Severe,1000000,High
2024-02-07 12:00:00,B,177,False,Rainy,16.21,342,Low,500000,Medium
2024-02-07 12:00:00,C,244,False,Cloudy,18.49,702,High,300000,Low
2024-02-08 00:00:00,A,314,False,Sunny,13.15,815,Moderate,1000000,High
2024-02-08 00:00:00,B,138,False,Cloudy,6.75,845,Moderate,500000,Medium
2024-02-08 00:00:00,C,143,False,Rainy,14.42,753,Moderate,300000,Low
2024-02-08 12:00:00,A,125,False,Sunny,18.18,488,Low,1000000,High
2024-02-08 12:00:00,B,204,False,Rainy,16.83,749,Severe,500000,Medium
2024-02-08 12:00:00,C,221,False,Snowy,16.16,453,Low,300000,Low
2024-02-09 00:00:00,A,123,False,Stormy,16.44,834,Severe,1000000,High
2024-02-09 00:00:00,B,214,False,Snowy,6.66,427,Moderate,500000,Medium
2024-02-09 00:00:00,C,213,False,Stormy,10.96,356,Severe,300000,Low
2024-02-09 12:00:00,A,142,False,Stormy,15.83,329,Moderate,1000000,High
2024-02-09 12:00:00,B,197,False,Rainy,15.41,491,Low,500000,Medium
2024-02-09 12:00:00,C,120,False,Sunny,10.19,210,Severe,300000,Low
2024-02-10 00:00:00,A,314,True,Rainy,11.01,545,Moderate,1000000,High
2024-02-10 00:00:00,B,262,True,Snowy,18.68,815,Severe,500000,Medium
2024-02-10 00:00:00,C,354,True,Sunny,15.89,882,Moderate,300000,Low
2024-02-10 12:00:00,A,296,True,Sunny,18.78,332,Severe,1000000,High
2024-02-10 12:00:00,B,233,True,Rainy,16.57,998,Severe,500000,Medium
2024-02-10 12:00:00,C,214,True,Snowy,6.56,496,High,300000,Low
2024-02-11 00:00:00,A,292,True,Stormy,6.84,812,Severe,1000000,High
2024-02-11 00:00:00,B,303,True,Snowy,17.56,200,Severe,500000,Medium
2024-02-11 00:00:00,C,260,True,Rainy,14.12,630,Severe,300000,Low
2024-02-11 12:00:00,A,334,True,Stormy,16.82,865,High,1000000,High
2024-02-11 12:00:00,B,246,True,Rainy,11.22,801,High,500000,Medium
2024-02-11 12:00:00,C,256,True,Snowy,11.99,674,Severe,300000,Low
2024-02-12 00:00:00,A,233,False,Rainy,5.49,962,High,1000000,High
2024-02-12 00:00:00,B,223,False,Stormy,13.66,379,Low,500000,Medium
2024-02-12 00:00:00,C,187,False,Cloudy,9.67,484,Moderate,300000,Low
2024-02-12 12:00:00,A,162,False,Cloudy,9.16,865,High,1000000,High
2024-02-12 12:00:00,B,255,False,Cloudy,8.19,248,Low,500000,Medium
2024-02-12 12:00:00,C,257,False,Rainy,19.63,560,Moderate,300000,Low
2024-02-13 00:00:00,A,175,False,Rainy,17.91,262,Severe,1000000,High
2024-02-13 00:00:00,B,89,False,Rainy,9.65,414,Moderate,500000,Medium
2024-02-13 00:00:00,C,267,False,Sunny,18.47,231,Severe,300000,Low
2024-02-13 12:00:00,A,110,False,Stormy,17.55,218,High,1000000,High
2024-02-13 12:00:00,B,134,False,Snowy,15.71,393,Severe,500000,Medium
2024-02-13 12:00:00,C,230,False,Stormy,16.48,843,Low,300000,Low
2024-02-14 00:00:00,A,338,True,Rainy,19.19,999,Severe,1000000,High
2024-02-14 00:00:00,B,512,True,Stormy,11.13,286,Low,500000,Medium
2024-02-14 00:00:00,C,507,True,Snowy,15.74,548,Severe,300000,Low
2024-02-14 12:00:00,A,560,True,Stormy,5.3,253,Low,1000000,High
2024-02-14 12:00:00,B,608,True,Cloudy,7.68,808,High,500000,Medium
2024-02-14 12:00:00,C,393,True,Stormy,8.57,617,Severe,300000,Low
2024-02-15 00:00:00,A,123,False,Snowy,17.84,690,Moderate,1000000,High
2024-02-15 00:00:00,B,232,False,Stormy,7.12,934,Moderate,500000,Medium
2024-02-15 00:00:00,C,87,False,Cloudy,14.5,872,Severe,300000,Low
2024-02-15 12:00:00,A,224,False,Stormy,6.84,747,Low,1000000,High
2024-02-15 12:00:00,B,160,False,Stormy,18.39,908,High,500000,Medium
2024-02-15 12:00:00,C,200,False,Stormy,10.45,318,Moderate,300000,Low
2024-02-16 00:00:00,A,94,False,Stormy,10.18,455,Moderate,1000000,High
2024-02-16 00:00:00,B,144,False,Snowy,9.42,699,Low,500000,Medium
2024-02-16 00:00:00,C,187,False,Stormy,7.1,913,Low,300000,Low
2024-02-16 12:00:00,A,142,False,Sunny,18.42,327,Severe,1000000,High
2024-02-16 12:00:00,B,82,False,Rainy,16.13,436,Severe,500000,Medium
2024-02-16 12:00:00,C,104,False,Rainy,17.52,203,Low,300000,Low
2024-02-17 00:00:00,A,197,True,Cloudy,7.58,926,Severe,1000000,High
2024-02-17 00:00:00,B,269,True,Cloudy,18.71,241,Moderate,500000,Medium
2024-02-17 00:00:00,C,270,True,Stormy,12.47,233,High,300000,Low
2024-02-17 12:00:00,A,288,True,Cloudy,12.46,787,Severe,1000000,High
2024-02-17 12:00:00,B,271,True,Cloudy,7.1,226,Severe,500000,Medium
2024-02-17 12:00:00,C,333,True,Cloudy,15.98,809,Low,300000,Low
2024-02-18 00:00:00,A,191,True,Stormy,14.5,654,Low,1000000,High
2024-02-18 00:00:00,B,318,True,Snowy,11.28,675,Low,500000,Medium
2024-02-18 00:00:00,C,245,True,Cloudy,5.7,562,Moderate,300000,Low
2024-02-18 12:00:00,A,441,True,Sunny,6.24,491,Low,1000000,High
2024-02-18 12:00:00,B,249,True,Sunny,10.84,495,Moderate,500000,Medium
2024-02-18 12:00:00,C,329,True,Rainy,15.79,943,Low,300000,Low
2024-02-19 00:00:00,A,185,False,Snowy,10.95,863,Moderate,1000000,High
2024-02-19 00:00:00,B,143,False,Rainy,12.26,961,Moderate,500000,Medium
2024-02-19 00:00:00,C,211,False,Stormy,7.43,443,Low,300000,Low
2024-02-19 12:00:00,A,263,False,Snowy,19.33,681,Moderate,1000000,High
2024-02-19 12:00:00,B,259,False,Stormy,6.6,912,High,500000,Medium
2024-02-19 12:00:00,C,228,False,Cloudy,12.43,815,Moderate,300000,Low
2024-02-20 00:00:00,A,120,False,Snowy,11.9,330,Low,1000000,High
2024-02-20 00:00:00,B,176,False,Rainy,15.42,677,High,500000,Medium
2024-02-20 00:00:00,C,125,False,Sunny,10.41,243,Low,300000,Low
2024-02-20 12:00:00,A,128,False,Cloudy,7.05,529,Severe,1000000,High
2024-02-20 12:00:00,B,136,False,Stormy,6.3,791,Moderate,500000,Medium
2024-02-20 12:00:00,C,119,False,Sunny,14.58,280,Moderate,300000,Low
2024-02-21 00:00:00,A,233,False,Sunny,14.56,399,High,1000000,High
2024-02-21 00:00:00,B,178,False,Snowy,14.7,770,Low,500000,Medium
2024-02-21 00:00:00,C,191,False,Snowy,15.05,487,Low,300000,Low
2024-02-21 12:00:00,A,255,False,Cloudy,19.99,993,Severe,1000000,High
2024-02-21 12:00:00,B,234,False,Cloudy,5.51,828,Low,500000,Medium
2024-02-21 12:00:00,C,91,False,Snowy,9.46,887,High,300000,Low
2024-02-22 00:00:00,A,142,False,Sunny,19.16,793,Severe,1000000,High
2024-02-22 00:00:00,B,209,False,Stormy,12.84,814,Low,500000,Medium
2024-02-22 00:00:00,C,222,False,Stormy,10.47,819,High,300000,Low
2024-02-22 12:00:00,A,174,False,Stormy,18.27,370,Moderate,1000000,High
2024-02-22 12:00:00,B,248,False,Stormy,11.07,238,Moderate,500000,Medium
2024-02-22 12:00:00,C,93,False,Snowy,16.86,596,High,300000,Low
2024-02-23 00:00:00,A,80,False,Snowy,11.4,307,Severe,1000000,High
2024-02-23 00:00:00,B,214,False,Stormy,19.86,450,Severe,500000,Medium
2024-02-23 00:00:00,C,220,False,Snowy,18.99,238,High,300000,Low
2024-02-23 12:00:00,A,128,False,Cloudy,16.51,676,Moderate,1000000,High
2024-02-23 12:00:00,B,178,False,Sunny,12.2,896,High,500000,Medium
2024-02-23 12:00:00,C,198,False,Stormy,16.52,558,Moderate,300000,Low
2024-02-24 00:00:00,A,195,True,Stormy,8.58,202,Severe,1000000,High
2024-02-24 00:00:00,B,441,True,Cloudy,9.44,492,Low,500000,Medium
2024-02-24 00:00:00,C,303,True,Stormy,9.16,784,High,300000,Low
2024-02-24 12:00:00,A,265,True,Rainy,15.19,339,Severe,1000000,High
2024-02-24 12:00:00,B,405,True,Rainy,6.34,909,High,500000,Medium
2024-02-24 12:00:00,C,262,True,Cloudy,19.17,210,High,300000,Low
2024-02-25 00:00:00,A,261,True,Cloudy,14.2,352,High,1000000,High
2024-02-25 00:00:00,B,354,True,Snowy,19.87,770,Low,500000,Medium
2024-02-25 00:00:00,C,263,True,Snowy,14.74,442,Moderate,300000,Low
2024-02-25 12:00:00,A,287,True,Sunny,5.7,417,Moderate,1000000,High
2024-02-25 12:00:00,B,359,True,Stormy,16.69,973,Severe,500000,Medium
2024-02-25 12:00:00,C,376,True,Snowy,18.26,298,Moderate,300000,Low
2024-02-26 00:00:00,A,128,False,Stormy,8.9,618,Severe,1000000,High
2024-02-26 00:00:00,B,88,False,Stormy,17.24,980,Low,500000,Medium
2024-02-26 00:00:00,C,199,False,Sunny,13.89,556,High,300000,Low
2024-02-26 12:00:00,A,156,False,Rainy,10.87,834,Severe,1000000,High
2024-02-26 12:00:00,B,234,False,Rainy,17.78,369,High,500000,Medium
2024-02-26 12:00:00,C,119,False,Snowy,18.97,594,High,300000,Low
2024-02-27 00:00:00,A,205,False,Stormy,10.59,527,High,1000000,High
2024-02-27 00:00:00,B,260,False,Stormy,12.44,653,High,500000,Medium
2024-02-27 00:00:00,C,221,False,Cloudy,15.25,792,Severe,300000,Low
2024-02-27 12:00:00,A,144,False,Cloudy,12.21,548,High,1000000,High
